Row,Column,WELL LABEL,Z,T,Cells Count wv1,Cells Area wv1,Cells Intensity wv1,Cells Max Intensity wv1,Cells Intensity wv2,Cells Max Intensity wv2,Granules Cells with Org wv2,Granules Org per Cell wv2,Granules Area wv2,Granules Total Area wv2,Granules Intensity wv2,All Targets.0 Gran (%),All Targets.0 Gran Count,All Targets.1 Gran (%),All Targets.1 Gran Count,All Targets.>1 Gran (%),All Targets.>1 Gran Count,Plate ID
A,7,A - 7,1,1,387,10.63603902,6487.870005,12411,457.7558981,1490,27,0.072351421,0.168374074,0.012402067,803.6704595,93.02325581,360,6.718346253,26,0.258397933,1,20240512
A,7,A - 7,1,2,415,11.94985765,6074.954263,13220,432.3578311,1780,31,0.089156627,0.176586828,0.017022169,781.8589831,92.53012048,384,6.265060241,26,1.204819277,5,20240512
A,7,A - 7,1,3,399,11.09762431,6245.137219,12433,437.5839382,1424,28,0.077694236,0.186503571,0.014506892,737.5747804,92.98245614,371,6.26566416,25,0.751879699,3,20240512
A,7,A - 7,1,4,403,11.41702984,6279.301216,13049,435.7786799,1579,22,0.066997519,0.201263636,0.013125806,814.4609262,94.54094293,381,4.466501241,18,0.992555831,4,20240512
A,7,A - 7,1,5,389,10.0683705,6472.326251,13040,444.8816204,1507,25,0.066838046,0.175253,0.011599743,711.981691,93.57326478,364,6.16966581,24,0.257069409,1,20240512
A,7,A - 7,1,6,423,11.29532275,6304.062801,13414,438.3321237,1537,42,0.120567376,0.243893155,0.027587352,745.6120962,90.07092199,381,8.037825059,34,1.891252955,8,20240512
A,7,A - 7,1,7,407,10.72343409,6374.764722,13031,446.3147855,1513,34,0.108108108,0.200438971,0.022028133,757.4684666,91.64619165,373,6.388206388,26,1.965601966,8,20240512
A,7,A - 7,1,8,418,10.27541226,6392.058192,12764,445.6925934,1555,38,0.110047847,0.189124342,0.020700478,757.6773957,90.90909091,380,7.416267943,31,1.674641148,7,20240512
A,7,A - 7,1,9,401,10.86091565,6438.012105,14051,445.8886855,1466,46,0.152119701,0.195452174,0.028953367,728.1649662,88.5286783,355,7.730673317,31,3.740648379,15,20240512
A,7,A - 7,1,10,439,10.84918405,6321.783955,12323,437.6180735,1404,46,0.13667426,0.17224529,0.023559909,704.9035754,89.52164009,393,8.200455581,36,2.277904328,10,20240512
A,7,A - 7,1,11,451,11.12896851,6288.946739,13638,432.1443404,1507,55,0.139689579,0.19659053,0.028478936,699.8013404,87.80487805,396,10.64301552,48,1.55210643,7,20240512
A,7,A - 7,1,12,442,10.47333529,6383.055325,13132,438.5029078,1320,56,0.149321267,0.182970164,0.026831618,692.1101606,87.33031674,386,10.85972851,48,1.809954751,8,20240512
A,7,A - 7,1,13,432,10.98312222,6386.9328,12631,436.4643433,1383,52,0.141203704,0.208365625,0.029115336,694.1268023,87.96296296,380,10.18518519,44,1.851851852,8,20240512
A,7,A - 7,1,14,441,11.48083872,6303.9493,13461,437.2906726,1367,53,0.140589569,0.21079827,0.029306746,687.2608258,87.98185941,388,10.20408163,45,1.814058957,8,20240512
A,7,A - 7,1,15,444,10.58204538,6312.868394,13726,440.4091333,1406,46,0.114864865,0.212857337,0.023741836,710.659516,89.63963964,398,9.234234234,41,1.126126126,5,20240512
A,7,A - 7,1,16,433,11.32375133,6354.270482,14528,435.1452358,1386,38,0.101616628,0.234821053,0.023291166,696.6892397,91.22401848,395,7.390300231,32,1.385681293,6,20240512
A,7,A - 7,1,17,443,10.82204661,6347.458143,40470,439.2958009,5187,56,0.135440181,0.186239509,0.025121106,719.8845766,87.35891648,387,11.73814898,52,0.902934537,4,20240512
A,7,A - 7,1,18,451,10.97910748,6301.285543,17217,436.1763925,1504,53,0.126385809,0.175058491,0.022277273,679.5959544,88.24833703,398,10.86474501,49,0.88691796,4,20240512
A,7,A - 7,1,19,444,11.24304854,6313.659212,29230,429.6173874,1346,52,0.130630631,0.17801875,0.022942511,679.578686,88.28828829,392,10.36036036,46,1.351351351,6,20240512
A,7,A - 7,1,20,450,11.54400506,6251.428891,17141,427.0960079,1359,50,0.12,0.17022525,0.020833944,679.002345,88.88888889,400,10.22222222,46,0.888888889,4,20240512
A,7,A - 7,1,21,454,10.9288652,6311.220706,16935,427.4772995,1401,55,0.127753304,0.197806818,0.025182489,680.333524,87.88546256,399,11.45374449,52,0.660792952,3,20240512
A,7,A - 7,1,22,476,11.23478093,6225.213711,27710,423.5119965,1486,47,0.109243697,0.199518883,0.021950473,700.2119425,90.12605042,429,8.823529412,42,1.050420168,5,20240512
A,7,A - 7,1,23,454,10.94583034,6302.940881,18754,422.5516596,1435,49,0.118942731,0.191030357,0.02192533,674.9691485,89.20704846,405,9.691629956,44,1.101321586,5,20240512
A,7,A - 7,1,24,452,11.39573169,6253.286297,18591,420.0412247,1384,55,0.14159292,0.206064773,0.029060896,706.875816,87.83185841,397,10.17699115,46,1.991150442,9,20240512
