Row,Column,WELL LABEL,Z,T,Cells Count wv1,Cells Area wv1,Cells Intensity wv1,Cells Max Intensity wv1,Cells Intensity wv2,Cells Max Intensity wv2,Granules Cells with Org wv2,Granules Org per Cell wv2,Granules Area wv2,Granules Total Area wv2,Granules Intensity wv2,All Targets.0 Gran (%),All Targets.0 Gran Count,All Targets.1 Gran (%),All Targets.1 Gran Count,All Targets.>1 Gran (%),All Targets.>1 Gran Count,Plate ID
A,19,A - 19,1,1,490,11.9667348,7448.972571,16627,497.2887001,2886,38,0.089795918,0.193905263,0.018089898,861.5446524,92.24489796,452,6.530612245,32,1.224489796,6,20240606
A,19,A - 19,1,2,506,12.76779135,6817.359902,18440,479.6774975,2708,51,0.12055336,0.228315686,0.026435474,845.7950934,89.92094862,455,8.102766798,41,1.976284585,10,20240606
A,19,A - 19,1,3,480,12.22619057,6947.60243,19345,494.1275202,2745,71,0.1625,0.221395951,0.036202969,820.3427632,85.20833333,409,13.33333333,64,1.458333333,7,20240606
A,19,A - 19,1,4,503,12.26619975,6819.037087,21464,487.2393209,2890,62,0.131212724,0.226378226,0.030053777,825.1420492,87.67395626,441,11.53081511,58,0.795228628,4,20240606
A,19,A - 19,1,5,496,11.64883609,6901.810847,17089,494.6296191,2854,44,0.094758065,0.217299432,0.020128377,811.0271677,91.12903226,452,8.266129032,41,0.60483871,3,20240606
A,19,A - 19,1,6,504,11.66640699,6830.421449,20486,490.8579982,2731,48,0.101190476,0.233123177,0.023346478,851.5436931,90.47619048,456,8.928571429,45,0.595238095,3,20240606
A,19,A - 19,1,7,513,11.84814362,6760.049825,21583,488.1085173,2714,41,0.091617934,0.208364634,0.018786014,831.9314989,92.00779727,472,6.822612086,35,1.169590643,6,20240606
A,19,A - 19,1,8,502,11.58823237,6829.336258,17757,489.7375042,2910,35,0.079681275,0.230705119,0.017977291,805.9536822,93.02788845,467,6.175298805,31,0.796812749,4,20240606
A,19,A - 19,1,9,517,11.69383569,6768.589176,19696,488.3852818,2755,45,0.098646035,0.185571389,0.017929691,806.2818612,91.2959381,472,7.736943907,40,0.967117988,5,20240606
A,19,A - 19,1,10,521,11.90465518,6691.229348,16423,489.8095948,2977,42,0.092130518,0.191130952,0.017410893,810.7335612,91.93857965,479,6.909788868,36,1.151631478,6,20240606
A,19,A - 19,1,11,530,11.57863642,6685.941949,14620,482.0079188,2872,39,0.077358491,0.183245833,0.014588208,828.547336,92.64150943,491,6.981132075,37,0.377358491,2,20240606
A,19,A - 19,1,12,537,11.04027905,6681.287247,14886,483.9481145,2718,38,0.083798883,0.171168092,0.014099069,787.8736456,92.92364991,499,5.772811918,31,1.303538175,7,20240606
